word,c1,c2,source_subtlex,source_yuwei,source_xianhan,subtlex_wcount,qwen_c1_probability_distribution,qwen_c1_score,qwen_c2_probability_distribution,qwen_c2_score,lexical_structure
监听,监,听,1,1,1,252,"{""1"":0.0,""2"":0.0,""5"":0.0022,""6"":0.9026,""7"":0.0951}",6.0927,"{""1"":0.0001,""2"":0.0002,""5"":0.0127,""6"":0.8928,""7"":0.0941}",6.0799,VO
监场,监,场,0,0,1,,"{""2"":0.0034,""3"":0.0013,""5"":0.1463,""6"":0.8417,""7"":0.0073}",5.8435,"{""1"":0.0004,""2"":0.0018,""5"":0.0583,""6"":0.912,""7"":0.0275}",5.9602,VO
监外,监,外,1,0,0,2,"{""2"":0.0849,""3"":0.0312,""5"":0.3805,""6"":0.4886,""7"":0.0148}",5.2009,"{""2"":0.0249,""3"":0.0092,""5"":0.3037,""6"":0.6428,""7"":0.0194}",5.5885,SUBORD
监守,监,守,1,1,1,11,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.2689,""7"":0.7309}",6.7308,"{""2"":0.0,""4"":0.0,""5"":0.0001,""6"":0.0759,""7"":0.924}",6.9239,COORD
监察,监,察,1,1,1,58,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0006,""7"":0.9994}",6.9994,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0041,""7"":0.9959}",6.9959,COORD
监工,监,工,1,1,1,16,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.1192,""7"":0.8807}",6.8807,"{""1"":0.0003,""2"":0.0012,""5"":0.014,""6"":0.7653,""7"":0.2193}",6.1994,VO
监护,监,护,1,1,1,231,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0953,""7"":0.9046}",6.9046,"{""2"":0.0,""4"":0.0,""5"":0.0002,""6"":0.2689,""7"":0.7309}",6.7307,COORD
监押,监,押,0,1,1,,"{""1"":0.0,""4"":0.0,""5"":0.0005,""6"":0.7307,""7"":0.2688}",6.2682,"{""2"":0.0,""4"":0.0,""5"":0.0002,""6"":0.0953,""7"":0.9045}",6.9042,COORD
监控,监,控,1,1,1,1021,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0373,""7"":0.9627}",6.9626,"{""2"":0.0,""4"":0.0,""5"":0.0004,""6"":0.148,""7"":0.8516}",6.8512,COORD
监本,监,本,0,0,1,,"{""2"":0.0979,""3"":0.0594,""5"":0.5634,""6"":0.2661,""7"":0.0132}",4.8802,"{""1"":0.0006,""2"":0.0016,""5"":0.0545,""6"":0.8533,""7"":0.0899}",6.0258,SUBORD
监测,监,测,1,1,1,87,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0086,""7"":0.9914}",6.9914,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.018,""7"":0.9819}",6.9818,COORD
监牢,监,牢,1,1,1,55,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.011,""7"":0.989}",6.9889,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0003,""7"":0.9996}",6.9995,COORD
监犯,监,犯,1,0,0,1,"{""1"":0.0001,""2"":0.0,""5"":0.0014,""6"":0.9511,""7"":0.0474}",6.0454,"{""1"":0.0,""2"":0.0,""5"":0.001,""6"":0.1479,""7"":0.851}",6.8497,SUBORD
监狱,监,狱,1,1,1,4671,"{""1"":0.0001,""2"":0.0,""5"":0.0007,""6"":0.0758,""7"":0.9234}",6.9223,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0003,""7"":0.9997}",6.9996,COORD
监理,监,理,1,1,1,4,"{""2"":0.0,""4"":0.0,""5"":0.0005,""6"":0.9765,""7"":0.023}",6.0223,"{""2"":0.0101,""3"":0.0037,""5"":0.4284,""6"":0.55,""7"":0.0078}",5.5281,COORD
监生,监,生,0,0,1,,"{""1"":0.0021,""2"":0.673,""3"":0.3179,""4"":0.0019,""5"":0.0051}",2.3349,"{""1"":0.0017,""2"":0.8789,""3"":0.1189,""4"":0.0003,""7"":0.0002}",2.1189,SUBORD
监督,监,督,1,1,1,299,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0004,""7"":0.9996}",6.9995,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0004,""7"":0.9996}",6.9995,COORD
监票,监,票,0,1,1,,"{""1"":0.0,""4"":0.0,""5"":0.0004,""6"":0.6222,""7"":0.3774}",6.3769,"{""1"":0.0,""2"":0.0,""5"":0.0005,""6"":0.7769,""7"":0.2226}",6.222,VO
监禁,监,禁,1,1,1,377,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0015,""7"":0.9985}",6.9985,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0012,""7"":0.9988}",6.9988,COORD
监管,监,管,1,1,1,177,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0015,""7"":0.9985}",6.9985,"{""2"":0.0,""4"":0.0,""5"":0.0,""6"":0.0141,""7"":0.9859}",6.9858,COORD
监考,监,考,1,1,1,10,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0474,""7"":0.9525}",6.9525,"{""1"":0.0014,""2"":0.0065,""5"":0.0787,""6"":0.7468,""7"":0.1666}",6.0549,VO
监规,监,规,0,1,1,,"{""1"":0.0001,""2"":0.0001,""5"":0.0078,""6"":0.8974,""7"":0.0946}",6.0856,"{""2"":0.0217,""3"":0.0038,""5"":0.0757,""6"":0.5595,""7"":0.3393}",6.1655,SUBORD
监视,监,视,1,1,1,2084,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0003,""7"":0.9997}",6.9997,"{""2"":0.0,""4"":0.0,""5"":0.0002,""6"":0.148,""7"":0.8518}",6.8516,COORD
盒子,盒,子,1,1,1,1463,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0001,""7"":0.9998}",6.9997,"{""1"":0.004,""2"":0.0009,""5"":0.0019,""6"":0.0228,""7"":0.9705}",6.9452,SFX
盒带,盒,带,1,1,1,8,"{""1"":0.0109,""2"":0.014,""5"":0.0488,""6"":0.4632,""7"":0.4632}",6.3039,"{""1"":0.0072,""2"":0.0092,""5"":0.0322,""6"":0.3052,""7"":0.6462}",6.5413,SUBORD
盒式,盒,式,0,1,0,,"{""1"":0.0002,""2"":0.0001,""5"":0.0016,""6"":0.1478,""7"":0.8503}",6.8475,"{""2"":0.0349,""3"":0.0128,""5"":0.1564,""6"":0.701,""7"":0.0949}",5.7603,SUBORD
盒装,盒,装,0,1,0,,"{""1"":0.0,""2"":0.0,""5"":0.0001,""6"":0.0041,""7"":0.9958}",6.9954,"{""1"":0.0,""2"":0.0,""5"":0.0005,""6"":0.0601,""7"":0.9394}",6.9386,SUBORD
盒饭,盒,饭,1,1,1,23,"{""1"":0.0001,""2"":0.0,""5"":0.0008,""6"":0.0758,""7"":0.9233}",6.922,"{""1"":0.0,""4"":0.0,""5"":0.0004,""6"":0.0758,""7"":0.9237}",6.923,SUBORD
盔头,盔,头,0,1,1,,"{""1"":0.0059,""2"":0.0097,""5"":0.0557,""6"":0.6789,""7"":0.2498}",6.1259,"{""2"":0.272,""3"":0.0368,""5"":0.0779,""6"":0.4484,""7"":0.1649}",4.8888,SUBORD
盔子,盔,子,0,0,1,,"{""1"":0.0011,""2"":0.0002,""5"":0.0005,""6"":0.018,""7"":0.9802}",6.9731,"{""1"":0.037,""2"":0.9538,""3"":0.0083,""4"":0.0002,""7"":0.0007}",1.9752,SFX
盔甲,盔,甲,1,1,1,119,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0003,""7"":0.9997}",6.9996,"{""1"":0.0,""2"":0.0,""5"":0.0,""6"":0.0007,""7"":0.9992}",6.9989,COORD
盖世,盖,世,0,1,1,,"{""1"":0.0159,""2"":0.0097,""5"":0.0124,""6"":0.0917,""7"":0.8703}",6.7395,"{""1"":0.0527,""2"":0.2362,""5"":0.0677,""6"":0.1433,""7"":0.5001}",5.2239,VO
盖丽,盖,丽,1,0,0,1,"{""1"":0.9761,""2"":0.023,""3"":0.0004,""4"":0.0001,""7"":0.0004}",1.0265,"{""1"":0.0595,""2"":0.9304,""3"":0.008,""4"":0.0003,""7"":0.0018}",1.9582,PLW
盖亚,盖,亚,1,0,0,6,"{""1"":0.8147,""2"":0.1818,""3"":0.0026,""4"":0.0002,""7"":0.0007}",1.1921,"{""1"":0.4196,""2"":0.4196,""3"":0.1544,""4"":0.0017,""7"":0.0047}",1.7615,PLW
盖伊,盖,伊,1,0,0,44,"{""1"":0.9926,""2"":0.0067,""3"":0.0003,""4"":0.0001,""7"":0.0003}",1.0096,"{""1"":0.966,""2"":0.0292,""3"":0.0039,""4"":0.0002,""7"":0.0007}",1.0416,PLW
盖伦,盖,伦,1,0,0,11,"{""1"":0.951,""2"":0.0473,""3"":0.0009,""4"":0.0002,""7"":0.0007}",1.0536,"{""1"":0.4957,""2"":0.4957,""3"":0.0071,""4"":0.0004,""7"":0.0012}",1.5182,PLW
盖伯,盖,伯,1,0,0,37,"{""1"":0.5532,""2"":0.4308,""3"":0.0101,""4"":0.0011,""7"":0.0048}",1.483,"{""1"":0.0689,""2"":0.839,""3"":0.0884,""4"":0.001,""7"":0.0027}",2.0349,PLW
盖儿,盖,儿,1,0,0,1,"{""1"":0.0001,""2"":0.0,""5"":0.0001,""6"":0.0067,""7"":0.9931}",6.9924,"{""1"":0.0003,""2"":0.0001,""5"":0.0005,""6"":0.0293,""7"":0.9697}",6.9671,SFX
盖兹,盖,兹,1,0,0,9,"{""1"":0.9751,""2"":0.0229,""3"":0.0011,""6"":0.0002,""7"":0.0007}",1.0301,"{""1"":0.7708,""2"":0.2208,""3"":0.0067,""4"":0.0005,""7"":0.0012}",1.2428,PLW
盖利,盖,利,1,0,0,1,"{""1"":0.2657,""2"":0.7222,""3"":0.0103,""4"":0.0004,""7"":0.0014}",1.7524,"{""1"":0.4205,""2"":0.54,""3"":0.0345,""4"":0.0013,""7"":0.0036}",1.6349,PLW
盖加,盖,加,1,0,0,3,"{""1"":0.2305,""2"":0.6266,""3"":0.0401,""6"":0.0514,""7"":0.0514}",2.2724,"{""1"":0.0139,""2"":0.9719,""3"":0.0139,""4"":0.0001,""7"":0.0003}",2.0018,BINOME
盖勒,盖,勒,1,0,0,6,"{""1"":0.9215,""2"":0.0756,""3"":0.0018,""4"":0.0002,""7"":0.0008}",1.085,"{""1"":0.4275,""2"":0.549,""3"":0.0213,""4"":0.0008,""7"":0.0014}",1.6022,PLW
盖博,盖,博,1,0,0,10,"{""1"":0.8983,""2"":0.0947,""3"":0.0037,""4"":0.0005,""7"":0.0029}",1.1207,"{""1"":0.0909,""2"":0.8628,""3"":0.043,""4"":0.0006,""7"":0.0027}",1.967,PLW
盖印,盖,印,0,1,0,,"{""1"":0.0,""4"":0.0,""5"":0.0002,""6"":0.0758,""7"":0.9239}",6.9236,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0007,""7"":0.9993}",6.9992,VO
盖因,盖,因,1,0,0,14,"{""1"":0.01,""2"":0.8977,""3"":0.0447,""5"":0.0128,""6"":0.0348}",2.2124,"{""1"":0.0007,""2"":0.0005,""5"":0.0169,""6"":0.7179,""7"":0.2641}",6.2419,SUBORD
盖头,盖,头,1,1,1,5,"{""1"":0.0004,""2"":0.0002,""5"":0.0043,""6"":0.1815,""7"":0.8136}",6.8063,"{""2"":0.0141,""3"":0.0109,""5"":0.1038,""6"":0.7673,""7"":0.1038}",5.9109,SUBORD
盖奇,盖,奇,1,0,0,11,"{""1"":0.6776,""2"":0.3201,""3"":0.0017,""6"":0.0002,""7"":0.0005}",1.3274,"{""1"":0.5406,""2"":0.421,""3"":0.0346,""4"":0.001,""7"":0.0028}",1.5103,PLW
盖娅,盖,娅,1,0,0,7,"{""1"":0.9761,""2"":0.023,""3"":0.0007,""4"":0.0001,""7"":0.0002}",1.0257,"{""1"":0.8276,""2"":0.0679,""3"":0.0872,""4"":0.0021,""7"":0.0152}",1.3395,PLW
盖子,盖,子,1,1,1,117,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0002,""7"":0.9998}",6.9998,"{""1"":0.0002,""2"":0.0001,""5"":0.0007,""6"":0.0086,""7"":0.9905}",6.9884,SFX
盖尔,盖,尔,1,0,0,92,"{""1"":0.9759,""2"":0.023,""3"":0.0007,""4"":0.0001,""7"":0.0004}",1.0271,"{""1"":0.8775,""2"":0.1188,""3"":0.0028,""4"":0.0003,""7"":0.0006}",1.129,PLW
盖帘,盖,帘,0,1,1,,"{""1"":0.0063,""2"":0.0049,""5"":0.0593,""6"":0.7226,""7"":0.207}",6.097,"{""1"":0.0029,""2"":0.0037,""5"":0.1236,""6"":0.7111,""7"":0.1587}",6.0056,SUBORD
盖戳,盖,戳,1,0,0,2,"{""1"":0.0011,""2"":0.0006,""5"":0.0372,""6"":0.747,""7"":0.214}",6.1688,"{""1"":0.0,""2"":0.0,""5"":0.0012,""6"":0.4993,""7"":0.4993}",6.4978,VO
盖房,盖,房,1,1,0,14,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0013,""7"":0.9986}",6.9986,"{""1"":0.0,""2"":0.0,""5"":0.0001,""6"":0.0015,""7"":0.9984}",6.9982,VO
盖拉,盖,拉,1,0,0,1,"{""1"":0.9867,""2"":0.011,""3"":0.0015,""6"":0.0002,""7"":0.0007}",1.0189,"{""1"":0.8465,""2"":0.1471,""3"":0.0057,""4"":0.0002,""7"":0.0005}",1.1618,BINOME
盖提,盖,提,1,0,0,7,"{""1"":0.6114,""2"":0.3708,""3"":0.0144,""6"":0.0009,""7"":0.0025}",1.4192,"{""1"":0.0626,""2"":0.7628,""3"":0.1702,""5"":0.0019,""7"":0.0024}",2.1254,PLW
盖文,盖,文,1,0,0,8,"{""1"":0.0063,""2"":0.9313,""3"":0.0595,""6"":0.0011,""7"":0.0018}",2.0666,"{""1"":0.0208,""2"":0.8841,""3"":0.0932,""4"":0.0006,""7"":0.0013}",2.0803,SUBORD
盖斯,盖,斯,1,0,0,54,"{""1"":0.9682,""2"":0.0292,""3"":0.0015,""4"":0.0002,""7"":0.0009}",1.038,"{""1"":0.9695,""2"":0.0293,""3"":0.0009,""4"":0.0001,""7"":0.0003}",1.0328,PLW
盖普,盖,普,1,0,0,3,"{""1"":0.9693,""2"":0.0293,""3"":0.0009,""4"":0.0001,""7"":0.0004}",1.0339,"{""1"":0.8399,""2"":0.1459,""3"":0.012,""4"":0.0006,""7"":0.0016}",1.1814,PLW
盖板,盖,板,1,0,0,2,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.0067,""7"":0.9932}",6.9932,"{""2"":0.0,""4"":0.0,""5"":0.0003,""6"":0.0758,""7"":0.9238}",6.9234,SUBORD
盖林,盖,林,1,0,0,1,"{""1"":0.4335,""2"":0.5566,""3"":0.0079,""4"":0.0007,""7"":0.0014}",1.5827,"{""1"":0.0026,""2"":0.8137,""3"":0.1816,""5"":0.001,""7"":0.0012}",2.1879,PLW
盖比,盖,比,1,0,0,10,"{""1"":0.8978,""2"":0.0946,""3"":0.006,""6"":0.0005,""7"":0.0011}",1.1155,"{""1"":0.3535,""2"":0.3535,""3"":0.2753,""5"":0.0039,""7"":0.0137}",2.0021,PLW
盖泽,盖,泽,1,0,0,1,"{""1"":0.0109,""2"":0.9855,""3"":0.0031,""4"":0.0001,""7"":0.0003}",1.9937,"{""1"":0.0051,""2"":0.976,""3"":0.0179,""4"":0.0002,""7"":0.0009}",2.0175,PLW
盖洛,盖,洛,1,0,0,12,"{""1"":0.9909,""2"":0.0086,""3"":0.0003,""4"":0.0001,""7"":0.0002}",1.0104,"{""1"":0.62,""2"":0.376,""3"":0.0033,""4"":0.0002,""7"":0.0005}",1.3862,PLW
盖火,盖,火,0,0,1,,"{""1"":0.1085,""2"":0.8017,""3"":0.0845,""6"":0.002,""7"":0.0033}",2.0003,"{""1"":0.2519,""2"":0.6847,""3"":0.0438,""6"":0.0036,""7"":0.0161}",1.8868,SUBORD
盖然,盖,然,1,0,0,1,"{""1"":0.0035,""2"":0.3176,""3"":0.6723,""4"":0.0031,""5"":0.0035}",2.6856,"{""2"":0.0174,""3"":0.1286,""5"":0.7402,""6"":0.1002,""7"":0.0136}",4.8178,SUBORD
盖琳,盖,琳,1,0,0,1,"{""1"":0.9018,""2"":0.095,""3"":0.0022,""4"":0.0001,""7"":0.0008}",1.1049,"{""1"":0.0586,""2"":0.9164,""3"":0.0216,""4"":0.0005,""7"":0.0029}",1.9786,PLW
盖瑞,盖,瑞,1,0,0,16,"{""1"":0.9982,""2"":0.0015,""3"":0.0002,""4"":0.0,""7"":0.0001}",1.0027,"{""1"":0.9879,""2"":0.011,""3"":0.0009,""4"":0.0001,""7"":0.0002}",1.0139,PLW
盖碗,盖,碗,0,1,1,,"{""1"":0.0001,""2"":0.0001,""5"":0.0018,""6"":0.2684,""7"":0.7296}",6.727,"{""1"":0.0007,""2"":0.0005,""5"":0.0079,""6"":0.5571,""7"":0.4338}",6.4206,SUBORD
盖章,盖,章,1,1,0,28,"{""1"":0.0,""4"":0.0,""5"":0.0003,""6"":0.0474,""7"":0.9523}",6.9519,"{""1"":0.0,""4"":0.0,""5"":0.0003,""6"":0.0601,""7"":0.9396}",6.9392,VO
盖端,盖,端,1,0,0,1,"{""1"":0.0031,""2"":0.9662,""3"":0.0292,""5"":0.0007,""6"":0.0009}",2.0317,"{""1"":0.0094,""2"":0.8418,""3"":0.1463,""4"":0.001,""7"":0.0016}",2.147,SUBORD
盖纳,盖,纳,1,0,0,1,"{""1"":0.9487,""2"":0.0472,""3"":0.0024,""4"":0.0003,""7"":0.0014}",1.0614,"{""1"":0.0371,""2"":0.956,""3"":0.0064,""4"":0.0002,""7"":0.0003}",1.9713,PLW
盖罗,盖,罗,1,0,0,1,"{""1"":0.9503,""2"":0.0473,""3"":0.0011,""4"":0.0002,""7"":0.0011}",1.0567,"{""1"":0.0066,""2"":0.9864,""3"":0.0066,""4"":0.0001,""7"":0.0002}",2.0013,BINOME
盖茨,盖,茨,1,0,0,70,"{""1"":0.9956,""2"":0.0041,""3"":0.0002,""6"":0.0001,""7"":0.0001}",1.0053,"{""1"":0.9745,""2"":0.0229,""3"":0.0015,""4"":0.0003,""7"":0.0009}",1.0319,PLW
盖菜,盖,菜,0,0,1,,"{""1"":0.0207,""2"":0.5344,""3"":0.4162,""5"":0.0161,""6"":0.0126}",2.4941,"{""2"":0.2324,""3"":0.2324,""5"":0.3831,""6"":0.0855,""7"":0.0666}",4.0567,SUBORD
盖诺,盖,诺,1,0,0,2,"{""1"":0.9213,""2"":0.0756,""3"":0.0018,""6"":0.0002,""7"":0.0011}",1.0869,"{""1"":0.0179,""2"":0.9754,""3"":0.0051,""6"":0.0002,""7"":0.0015}",1.9954,PLW
盖里,盖,里,1,0,0,8,"{""1"":0.9003,""2"":0.0949,""3"":0.0022,""6"":0.0004,""7"":0.0022}",1.1147,"{""1"":0.9796,""2"":0.0179,""3"":0.0019,""4"":0.0002,""7"":0.0004}",1.0247,PLW
盖销,盖,销,0,0,1,,"{""1"":0.0202,""2"":0.861,""3"":0.0907,""5"":0.0158,""6"":0.0123}",2.1669,"{""2"":0.2558,""3"":0.0733,""5"":0.1551,""6"":0.4217,""7"":0.0941}",4.696,VO
盖饭,盖,饭,0,0,1,,"{""1"":0.0038,""2"":0.0049,""5"":0.1628,""6"":0.7297,""7"":0.0988}",5.8971,"{""1"":0.0001,""2"":0.0001,""5"":0.001,""6"":0.1191,""7"":0.8797}",6.8779,SUBORD
盗伐,盗,伐,0,1,1,,"{""1"":0.0014,""2"":0.0005,""5"":0.013,""6"":0.9104,""7"":0.0747}",6.0529,"{""1"":0.0001,""2"":0.0001,""5"":0.0023,""6"":0.4367,""7"":0.5607}",6.5573,SUBORD
盗劫,盗,劫,0,1,1,,"{""1"":0.0013,""2"":0.0002,""5"":0.0028,""6"":0.3194,""7"":0.6763}",6.6661,"{""1"":0.0,""2"":0.0,""5"":0.0001,""6"":0.0086,""7"":0.9913}",6.991,COORD
盗匪,盗,匪,1,1,1,5,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0017,""7"":0.9982}",6.998,"{""1"":0.0,""2"":0.0,""5"":0.0,""6"":0.0004,""7"":0.9995}",6.9994,COORD
盗卖,盗,卖,0,1,1,,"{""1"":0.0077,""2"":0.0047,""5"":0.0729,""6"":0.888,""7"":0.0268}",5.8969,"{""1"":0.0006,""2"":0.0003,""5"":0.0035,""6"":0.3194,""7"":0.6762}",6.6684,COORD
盗印,盗,印,1,1,1,1,"{""1"":0.0037,""2"":0.0037,""5"":0.074,""6"":0.9021,""7"":0.0165}",5.9093,"{""1"":0.0003,""2"":0.0002,""5"":0.0071,""6"":0.4962,""7"":0.4962}",6.4866,VO
盗取,盗,取,1,1,0,46,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0019,""7"":0.998}",6.9978,"{""1"":0.0004,""2"":0.0002,""5"":0.0043,""6"":0.1816,""7"":0.8137}",6.807,COORD
盗名,盗,名,0,1,0,,"{""1"":0.014,""2"":0.866,""3"":0.1172,""5"":0.0013,""7"":0.0015}",2.1145,"{""1"":0.0173,""2"":0.9442,""3"":0.0366,""4"":0.0005,""7"":0.0014}",2.0273,VO
盗墓,盗,墓,1,1,1,41,"{""1"":0.0,""4"":0.0,""5"":0.0003,""6"":0.018,""7"":0.9817}",6.9812,"{""1"":0.0008,""2"":0.0002,""5"":0.0036,""6"":0.1187,""7"":0.8768}",6.8684,VO
盗掘,盗,掘,0,1,1,,"{""1"":0.0,""4"":0.0,""5"":0.0002,""6"":0.0953,""7"":0.9044}",6.904,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.0293,""7"":0.9706}",6.9704,COORD
盗案,盗,案,0,1,0,,"{""1"":0.0004,""2"":0.0001,""5"":0.0052,""6"":0.7729,""7"":0.2214}",6.2138,"{""1"":0.0,""2"":0.0,""5"":0.0013,""6"":0.3204,""7"":0.6783}",6.6767,SUBORD
盗汗,盗,汗,1,1,1,8,"{""1"":0.0074,""2"":0.9667,""3"":0.0258,""4"":0.0001,""7"":0.0001}",2.0188,"{""1"":0.0024,""2"":0.005,""5"":0.2128,""6"":0.7428,""7"":0.037}",5.7923,SP
盗版,盗,版,1,1,1,39,"{""1"":0.0,""2"":0.0,""5"":0.0008,""6"":0.8169,""7"":0.1823}",6.1813,"{""1"":0.015,""2"":0.1823,""5"":0.0247,""6"":0.6362,""7"":0.1419}",5.3134,SUBORD
盗猎,盗,猎,0,1,1,,"{""1"":0.0003,""2"":0.0,""5"":0.0012,""6"":0.4992,""7"":0.4992}",6.4965,"{""1"":0.0035,""2"":0.0074,""5"":0.0123,""6"":0.8603,""7"":0.1164}",6.0568,VO
盗用,盗,用,1,1,1,73,"{""1"":0.0003,""2"":0.0001,""5"":0.0097,""6"":0.8719,""7"":0.118}",6.1064,"{""2"":0.2572,""3"":0.0737,""5"":0.4241,""6"":0.2003,""7"":0.0447}",4.3707,SUBORD
盗窃,盗,窃,1,1,1,330,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0003,""7"":0.9997}",6.9996,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0003,""7"":0.9997}",6.9996,COORD
盗贼,盗,贼,1,1,1,113,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0015,""7"":0.9985}",6.9984,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0003,""7"":0.9997}",6.9996,COORD
盗走,盗,走,1,0,0,3,"{""1"":0.0002,""2"":0.0,""5"":0.0007,""6"":0.0474,""7"":0.9518}",6.9503,"{""1"":0.0005,""2"":0.0004,""5"":0.0103,""6"":0.7229,""7"":0.2659}",6.2514,COMP
盗车,盗,车,1,0,0,5,"{""1"":0.0009,""2"":0.0001,""5"":0.0025,""6"":0.2219,""7"":0.7746}",6.7673,"{""1"":0.0064,""2"":0.0011,""5"":0.0014,""6"":0.047,""7"":0.9441}",6.9065,VO
盗运,盗,运,0,1,1,,"{""2"":0.0502,""3"":0.0644,""5"":0.3706,""6"":0.4758,""7"":0.0391}",5.2747,"{""2"":0.0844,""3"":0.0512,""5"":0.2945,""6"":0.4856,""7"":0.0844}",5.2988,COORD
盘亘,盘,亘,0,0,1,,"{""2"":0.4745,""3"":0.3695,""4"":0.0112,""5"":0.1059,""6"":0.0389}",2.8653,"{""2"":0.0037,""3"":0.0048,""5"":0.2609,""6"":0.7092,""7"":0.0214}",5.7313,BINOME
盘剥,盘,剥,1,1,1,1,"{""1"":0.0008,""2"":0.9809,""3"":0.018,""4"":0.0001,""7"":0.0003}",2.0187,"{""2"":0.0075,""3"":0.0046,""5"":0.1938,""6"":0.6765,""7"":0.1176}",5.88,COORD
盘升,盘,升,0,0,1,,"{""2"":0.0146,""3"":0.0069,""5"":0.4848,""6"":0.4848,""7"":0.0089}",5.4448,"{""2"":0.0007,""3"":0.0002,""5"":0.059,""6"":0.9232,""7"":0.0169}",5.9547,SUBORD
盘口,盘,口,0,0,1,,"{""1"":0.0011,""2"":0.8505,""3"":0.1478,""4"":0.0003,""5"":0.0003}",2.1481,"{""1"":0.0034,""2"":0.2121,""3"":0.7403,""4"":0.0073,""5"":0.0369}",2.862,SUBORD
盘古,盘,古,1,1,1,6,"{""1"":0.9634,""2"":0.0291,""3"":0.0057,""4"":0.0006,""7"":0.0011}",1.0491,"{""1"":0.7703,""2"":0.0632,""3"":0.0812,""4"":0.004,""7"":0.0812}",1.7249,BINOME
盘坐,盘,坐,0,1,0,,"{""2"":0.0,""4"":0.0001,""5"":0.0043,""6"":0.1816,""7"":0.814}",6.8095,"{""1"":0.0,""4"":0.0,""5"":0.0002,""6"":0.0086,""7"":0.9912}",6.991,SUBORD
盘子,盘,子,1,1,1,535,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0007,""7"":0.9992}",6.9991,"{""1"":0.0327,""2"":0.8432,""3"":0.1141,""4"":0.0027,""7"":0.0073}",2.1233,SFX
盘存,盘,存,1,1,1,2,"{""2"":0.0019,""3"":0.0009,""5"":0.219,""6"":0.7643,""7"":0.014}",5.7848,"{""2"":0.0004,""3"":0.0001,""5"":0.0367,""6"":0.9455,""7"":0.0173}",5.9786,VO
盘山,盘,山,1,0,1,1,"{""1"":0.0001,""2"":0.0002,""5"":0.0081,""6"":0.7249,""7"":0.2667}",6.2572,"{""1"":0.0001,""2"":0.0002,""5"":0.0044,""6"":0.1473,""7"":0.8479}",6.842,SUBORD
盘川,盘,川,0,0,1,,"{""1"":0.0065,""2"":0.9602,""3"":0.0329,""4"":0.0003,""7"":0.0003}",2.0281,"{""1"":0.0101,""2"":0.5532,""3"":0.4308,""5"":0.0029,""7"":0.0029}",2.4439,COORD
盘库,盘,库,0,0,1,,"{""2"":0.0094,""3"":0.0035,""5"":0.3117,""6"":0.6599,""7"":0.0155}",5.6558,"{""2"":0.0002,""3"":0.0001,""5"":0.0085,""6"":0.9773,""7"":0.0139}",6.0045,VO
盘底,盘,底,0,1,0,,"{""2"":0.046,""3"":0.0358,""5"":0.4361,""6"":0.4361,""7"":0.046}",5.3186,"{""1"":0.001,""2"":0.0017,""5"":0.0445,""6"":0.6965,""7"":0.2562}",6.1996,SUBORD
盘店,盘,店,0,0,1,,"{""2"":0.0599,""3"":0.1269,""4"":0.0063,""5"":0.73,""6"":0.0769}",4.6372,"{""2"":0.0162,""3"":0.0077,""5"":0.537,""6"":0.4183,""7"":0.0208}",5.3959,VO
盘弄,盘,弄,1,1,0,2,"{""2"":0.0138,""3"":0.0138,""4"":0.0019,""5"":0.7544,""6"":0.2161}",5.1452,"{""2"":0.0035,""3"":0.0027,""5"":0.671,""6"":0.3169,""7"":0.0058}",5.3125,COORD
